46,"Orellana López, Guillermo",http://ucuenca.edu.ec/resource/author/guillermo-orellana-lópez,http://ucuenca.edu.ec/wkhuska/publication/singlet-oxygen-sensitizing-materials-based-on-porous-photochemical-effect-of-dye-reloading-and-application-to-water-disinfection-with-solar-reactors,"Singlet oxygen sensitizing materials based on porous silicone: photochemical characterization, effect of dye reloading and application to water disinfection with solar reactors",
47,"Martínez M. , María Simoné",http://ucuenca.edu.ec/resource/author/maría-simoné-martínez-m,http://ucuenca.edu.ec/wkhuska/publication/severe-menopausal-symptoms-in-middle-aged-women-are-associated-to-female-and-male,Severe menopausal symptoms in middle-aged women are associated to female and male factors,
48,"Ruiz Vázquez, Jorge Fernando",http://ucuenca.edu.ec/resource/author/jorge-fernando-ruiz-vázquez,http://ucuenca.edu.ec/wkhuska/publication/learning-objects-in-medical-education,Learning objects in medical education,
49,"Armijos, Fernando",http://ucuenca.edu.ec/resource/author/fernando-armijos,http://ucuenca.edu.ec/wkhuska/publication/aplicaciones-de-la-precisa-de-constantes-de-acoplamiento-en-resonancia-nuclear,Aplicaciones de la medición precisa de constantes de acoplamiento en resonancia magnética nuclear,
50,"Sánchez Romero, Hugo",http://ucuenca.edu.ec/resource/author/hugo-sánchez-romero,http://ucuenca.edu.ec/wkhuska/publication/vitamin-b12-status-does-not-influence-central-motor-conduction-time-in-asymptomatic-elderly-transcranial-magnetic-stimulation,"Vitamin B12 status does not influence central motor conduction time in asymptomatic elderly people: A transcranial magnetic stimulation study""@e",
51,"Espinoza Juela, María de Lourdes",http://ucuenca.edu.ec/resource/author/maría-de-lourdes-espinoza-juela,http://ucuenca.edu.ec/wkhuska/publication/impaired-quality-of-life-among-middle-aged-multicentre-latin-american,Impaired quality of life among middle aged women: a multicentre Latin American study,
52,"Ruiz Vázquez, Jorge Fernando",http://ucuenca.edu.ec/resource/author/jorge-fernando-ruiz-vázquez,http://ucuenca.edu.ec/wkhuska/publication/an-extremely-wideband-ridge-waveguide-filter,An extremely wideband ridge waveguide filter,
53,"Orellana López, Guillermo",http://ucuenca.edu.ec/resource/author/guillermo-orellana-lópez,http://ucuenca.edu.ec/wkhuska/publication/chemical-sensing-with-fiberoptic-devices,Chemical Sensing with Fiberoptic Devices,
54,"Gutiérrez Jadán, María del Carmen",http://ucuenca.edu.ec/resource/author/maría-del-carmen-gutiérrez-jadán,http://ucuenca.edu.ec/wkhuska/publication/novel-flow-injection-chemiluminescence-determination-of-with,"A novel flow injection chemiluminescence determination of Cr(VI) with Dichlorotris(1,10-phenanthroline)ruthenium(II)""@e",
55,"Pérez G. , Alvaro",http://ucuenca.edu.ec/resource/author/alvaro-pérez-g,http://ucuenca.edu.ec/wkhuska/publication/combined-tevatron-upper-limit-on-and-constraints-on-the-higgs-boson-mass-in-fourth-generation-fermion-models,Combined Tevatron upper limit on gg-->H-->W+W- and constraints on the Higgs boson mass in fourth-generation fermion models,
56,"Chiriboga N. , Angel I",http://ucuenca.edu.ec/resource/author/angel-i-chiriboga-n,http://ucuenca.edu.ec/wkhuska/publication/conservation-of-threatened-species-in-the-galapagos-marine-reserve-through-identification-and-protection-of-marine-key-biodiversity-areas,"Conservation of threatened species in the Galapagos Marine Reserve through identification and protection of marine key biodiversity areas""@e",
57,"Bernal D. , Carlos",http://ucuenca.edu.ec/resource/author/carlos-bernal-d,http://ucuenca.edu.ec/wkhuska/publication/chalcogenide-low-valent-metal-complexes,chalcogenide low-valent metal complexes,
58,"Aguilar Romero, Gino",http://ucuenca.edu.ec/resource/author/gino-aguilar-romero,http://ucuenca.edu.ec/wkhuska/publication/performance-of-the-cms-level1-trigger-during-commissioning-with-cosmic-ray-muons-and-lhc-beams,Performance of the CMS Level1 trigger during commissioning with cosmic ray muons and LHC beams,
59,"Muñoz S. , Edison",http://ucuenca.edu.ec/resource/author/edison-muñoz-s,http://ucuenca.edu.ec/wkhuska/publication/contrasting-strategies-to-cope-with-drought-by-invasive-and-endemic-species-of-lantana-in,"Contrasting strategies to cope with drought by invasive and endemic species of Lantana in Galapagos""@e",
60,"Tinoco Torres, Juan Pablo",http://ucuenca.edu.ec/resource/author/juan-pablo-tinoco-torres,http://ucuenca.edu.ec/wkhuska/publication/species-distribution-and-antifungal-susceptibility-of-bloodstream-fungal-isolates-in-paediatric-patients-in-nationwide-surveillance,"Species distribution and antifungal susceptibility of bloodstream fungal isolates in paediatric patients in Mexico: A nationwide surveillance study""@e",
61,"Monsalve Astudillo, Carlos Salvador",http://ucuenca.edu.ec/resource/author/carlos-salvador-monsalve-astudillo,http://ucuenca.edu.ec/wkhuska/publication/representing-unique-stakeholder-perspectives-in-bpm,Representing unique stakeholder perspectives in BPM notations,
62,"Reyes Bernal, Pedro José",http://ucuenca.edu.ec/resource/author/pedro-josé-reyes-bernal,http://ucuenca.edu.ec/wkhuska/publication/paleoseismology-and-tectonic-geomorphology-of-the-pallatanga-fault-major-structure-of-the-south-american,"Paleoseismology and tectonic geomorphology of the Pallatanga fault (Central Ecuador), a major structure of the South-American crust""@e",
63,"Márquez Moreno, Rafael",http://ucuenca.edu.ec/resource/author/rafael-márquez-moreno,http://ucuenca.edu.ec/wkhuska/publication/clinical-course-and-prognostic-factors-of-progressive-multifocal-leukoencephalopathy-in-patients-treated-with-highly-active-antiretroviral-therapy,Clinical Course and Prognostic Factors of Progressive Multifocal Leukoencephalopathy in Patients Treated with Highly Active Antiretroviral Therapy,
64,"Aguilar Romero, Gino",http://ucuenca.edu.ec/resource/author/gino-aguilar-romero,http://ucuenca.edu.ec/wkhuska/publication/search-for-boson-decaying-to-muon-and-neutrino-in-pp-collisions-at-tev,Search for a W ′ boson decaying to a muon and a neutrino in pp collisions at s = 7 TeV,
65,"Piña León, Fernando",http://ucuenca.edu.ec/resource/author/fernando-piña-león,http://ucuenca.edu.ec/wkhuska/publication/novel-bipyridinium-ionic-liquids-as-liquid-electrochromic,"Novel bipyridinium ionic liquids as liquid electrochromic devices""@e",
66,"Colina Morles, Eliezer",http://ucuenca.edu.ec/resource/author/eliezer-colina-morles,http://ucuenca.edu.ec/wkhuska/publication/identification-and-control-of-nonlinear-systems-using-neural-networks-with-variable-structure-control-based-learning,"Identification and control of nonlinear systems using neural networks with variable structure control-based learning algorithms""@e",
67,"Dercon, Gerd",http://ucuenca.edu.ec/resource/author/gerd-dercon,http://ucuenca.edu.ec/wkhuska/publication/spatial-variability-in-crop-response-under-contour-hedgerow-systems-in-the-andes-region-of,"Spatial variability in crop response under contour hedgerow systems in the Andes region of Ecuador""@e",
68,"Andrade Muñoz, Pablo",http://ucuenca.edu.ec/resource/author/pablo-andrade-muñoz,http://ucuenca.edu.ec/wkhuska/publication/ddos-and-other-anomalous-web-traffic-behavior-in-selected-countries,DDoS and other anomalous web traffic behavior in selected countries,
69,"Ramírez Tenorio, Marco Enrique",http://ucuenca.edu.ec/resource/author/marco-enrique-ramírez-tenorio,http://ucuenca.edu.ec/wkhuska/publication/spatial-variability-in-crop-response-under-contour-hedgerow-systems-in-the-andes-the-andes-region-of-ecuador,Spatial variability in crop response under contour hedgerow systems in the Andes region of Ecuador,
70,"Valencia Solórzano, Miguel Andrés",http://ucuenca.edu.ec/resource/author/miguel-andrés-valencia-solórzano,http://ucuenca.edu.ec/wkhuska/publication/coupling-between-beta-and-high-frequency-activity-in-the-human-subthalamic-nucleus-may-be-pathophysiological-mechanism-in-disease,Coupling between Beta and High-Frequency Activity in the Human Subthalamic Nucleus May Be a Pathophysiological Mechanism in Parkinson's Disease,
71,"Ordóñez Cuesta, María del Carmen",http://ucuenca.edu.ec/resource/author/maría-del-carmen-ordóñez-cuesta,http://ucuenca.edu.ec/wkhuska/publication/resistance-to-late-blight-in-putative-gene-that-suppresses-genes-and-is-elicited-by-specific,"Resistance to late blight in potato. A putative gene that suppresses R genes and is elicited by specific isolates""@e",
72,"Ruiz Vázquez, Jorge Fernando",http://ucuenca.edu.ec/resource/author/jorge-fernando-ruiz-vázquez,http://ucuenca.edu.ec/wkhuska/publication/oxidative-stability-and-fatty-acid-composition-of-pig-muscles-as-affected-by-rearing-crossbreeding-and-metabolic-type-of-muscle-fibre,"Oxidative stability and fatty acid composition of pig muscles as affected by rearing system, crossbreeding and metabolic type of muscle fibre",
