name,authorUri,publicationUri,title,keywords
"Ayala, Rosa",http://ucuenca.edu.ec/resource/author/rosa-ayala,http://ucuenca.edu.ec/wkhuska/publication/dps-based-system-modelling-method-for-3d-structures-simulation-in-manufacturing,A DPS-based system modelling method for 3D-structures simulation in manufacturing processes.,"3d structure, Computational Techniques, Distributed Problem Solving, Mass Customization, Modelling and Simulation, Simulation Modelling, Software Engineering, System Modelling"
Paola Liliana Prado Cabrera,http://ucuenca.edu.ec/resource/author/paola-liliana-prado-cabrera,http://ucuenca.edu.ec/wkhuska/publication/empowering-rural-citizen-journalism-via-web,Empowering rural citizen journalism via web 2.0 technologies.,"Collaborative Tools, Community Informatics, Digital Divide, Digital Inclusion, Digital Video, Environmental Concern, Oral History, Pilot Project, Rural Community"
Edison Geovanny Mera Holguin,http://ucuenca.edu.ec/resource/author/edison-geovanny-mera-holguin,http://ucuenca.edu.ec/wkhuska/publication/combining-static-analysis-and-profiling-for-estimating-execution,Combining Static Analysis and Profiling for Estimating Execution Times.,"Cost Analysis, Cost Model, Mobile Computer, Static Analysis, Timing Analysis, Upper and Lower Bounds"
"Gutiérrez Andrade, Miguel Ángel",http://ucuenca.edu.ec/resource/author/miguel-ángel-gutiérrez-andrade,http://ucuenca.edu.ec/wkhuska/publication/an-evolutionary-approach-for-multi-objective-vehicle-routing-problems-with,An evolutionary approach for multi-objective vehicle routing problems with backhauls.,"Algorithm Design, Fuzzy Logic, Object Model, Vehicle Routing Problem"
"Benavides Pérez, David Andrés",http://ucuenca.edu.ec/resource/author/david-andrés-benavides-pérez,http://ucuenca.edu.ec/wkhuska/publication/supporting-distributed-product-configuration-by-integrating-heterogeneous-variability-modeling,Supporting distributed product configuration by integrating heterogeneous variability modeling approaches.,Product Configuration
"Garcés Serrano, Pedro",http://ucuenca.edu.ec/resource/author/pedro-garcés-serrano,http://ucuenca.edu.ec/wkhuska/publication/assessment-of-direct-vrm,Assessment of direct VRM topologies.,"Buck Converter, dc-dc converter, Low Voltage, Optimal Design, Transient Behavior, Voltage Regulator Module"
"Chaput, Emmanuel",http://ucuenca.edu.ec/resource/author/emmanuel-chaput,http://ucuenca.edu.ec/wkhuska/publication/packet-scheduling-over-dvb-s2-through-gse,Packet Scheduling Over DVB-S2 Through GSE Encapsulation.,"Digital Video Broadcast, Next Generation, Packet Scheduling, Physical Layer, Side Effect, System Performance"
"McGinley, Mark",http://ucuenca.edu.ec/resource/author/mark-mcginley,http://ucuenca.edu.ec/wkhuska/publication/an-in-depth-cross-layer-experimental-study-of-transport-protocols-over,An In-Depth Cross-Layer Experimental Study of Transport Protocols over Circuits.,"Circuit Switched, Congestion Control, Cross Layer, Data Transfer, Experimental Study, Flow Control, High Throughput, Ip Routing, Link Layer, Transport Layer, Transport Protocol"
"Bustamante, Juan Carlos",http://ucuenca.edu.ec/resource/author/juan-carlos-bustamante,http://ucuenca.edu.ec/wkhuska/publication/theories-for-oriented,"(Co)homology theories for oriented algebras""@e","Cyclic (co)homology, Fundamental group, Hochschild (co)homology, Oriented algebras, Pullbacks, Simplicial (co)homology"
"Delgado Quiroga, Nelly Catalina",http://ucuenca.edu.ec/resource/author/nelly-catalina-delgado-quiroga,http://ucuenca.edu.ec/wkhuska/publication/taxonomy-and-catalog-of-runtime-software-fault-monitoring,A Taxonomy and Catalog of Runtime Software-Fault Monitoring Tools.,"Indexing Terms, Monitoring System, Program Verification, Runtime Monitoring, Software Systems, Specification Language"
Diana Elizabeth Pérez Andrade,http://ucuenca.edu.ec/resource/author/diana-elizabeth-pérez-andrade,http://ucuenca.edu.ec/wkhuska/publication/automatic-generation-of-conceptual-models-underpinned-by-free-text-adaptive-computer-assisted,Automatic Generation of Students' Conceptual Models Underpinned by Free-Text Adaptive Computer Assisted Assessment.,"Adaptive Computing, Automatic Generation, Conceptual Model"
"Pacheco Solano, Jaime Alberto",http://ucuenca.edu.ec/resource/author/jaime-alberto-pacheco-solano,http://ucuenca.edu.ec/wkhuska/publication/mathematical-model-with-sensor-and-actuator-for,Mathematical model with sensor and actuator for a transelevator.,"Constitutive Law, Sensors and Actuators, Three Dimensional"
"Acosta López, Oscar Alejandro",http://ucuenca.edu.ec/resource/author/oscar-alejandro-acosta-lópez,http://ucuenca.edu.ec/wkhuska/publication/constrained-reverse-diffusion-for-thick-slice-interpolation-of-3d-volumetric-mri,Constrained reverse diffusion for thick slice interpolation of 3D volumetric MRI images.,"3d imaging, Human Brain, Image Interpolation, Magnetic Resonance Image, Non-rigid Registration, Resolution Enhancement, Spline Interpolation, Three Dimensional"
"Aguilar Villamarín, Ramiro Javier",http://ucuenca.edu.ec/resource/author/ramiro-javier-aguilar-villamarín,http://ucuenca.edu.ec/wkhuska/publication/data-mining-for-grammatical-inference-with-bioinformatics,Data Mining for Grammatical Inference with Bioinformatics Criteria.,"Association Analysis, Data Mining, Grammatical Inference, Production Rule, Sequential Pattern, Specification Language"
"Sarmiento C. , Alvaro",http://ucuenca.edu.ec/resource/author/alvaro-sarmiento-c,http://ucuenca.edu.ec/wkhuska/publication/solving-non-smooth-unconstrained-optimization-problem-with-lamgac-in-lan-wlan-grid,Solving Non-Smooth Unconstrained Optimization Problem with LAMGAC in a LAN-WLAN Grid Domain.,"Generic Algorithm, Grid Computing, Local Area Network, Parallel Programs, Parallel Virtual Machine, Steepest Descent, Unconstrained Optimization, Web Interface, Wireless Local Area Network"
"Sánchez Romero, Hugo",http://ucuenca.edu.ec/resource/author/hugo-sánchez-romero,http://ucuenca.edu.ec/wkhuska/publication/effectiveness-of-the-national-program-of-complementary-feeding-for-older-adults-in-chile-on-vitamin-b12-status-in-older-secondary-outcome-analysis-from-the-cenex-study,"Effectiveness of the National Program of Complementary Feeding for older adults in Chile on vitamin B12 status in older adults; Secondary outcome analysis from the CENEX Study (ISRCTN48153354)""@e","Fortified foods, Nutrition programme, Older people, Vitamin B12"
Adriana del Carmen Lara Chávez,http://ucuenca.edu.ec/resource/author/adriana-del-carmen-lara-chávez,http://ucuenca.edu.ec/wkhuska/publication/using-gradient-information-for-multi-objective-problems-in-the-evolutionary,Using gradient information for multi-objective problems in the evolutionary context.,"Hybrid Algorithm, Mathematical Programming, memetic algorithm, Multi Objective Evolutionary Algorithm"
Luis Fabián Martínez López,http://ucuenca.edu.ec/resource/author/luis-fabián-martínez-lópez,http://ucuenca.edu.ec/wkhuska/publication/modelling-attitudes-in-group-decision,Modelling experts' attitudes in group decision making.,"Group Decision Making, Heterogeneous Preferences, Multi Criteria Decision Making"
"Jiménez Landívar, Marcelo",http://ucuenca.edu.ec/resource/author/marcelo-jiménez-landívar,http://ucuenca.edu.ec/wkhuska/publication/prediction-of-postoperative-morbidity-after-lung-resection-using-an-artificial-neural-network,Prediction of postoperative morbidity after lung resection using an artificial neural network ensemble.,"Artificial Neural Network, Averaging Method, backpropagation, Blood Transfusion, Body Mass Index, Cardiac Arrhythmia, Clinical Study, Chest Wall, diabetes mellitus, Ensemble Learning, High Performance, Ischemic Heart Disease, Lung Cancer, Lung Resection, Non Small Cell Lung Cancer, Prediction Model, Receiver Operator Characteristic, Risk Adjustment, Roc Curve"
HIDALGO TRUJILLO SILVANA IVONNE,http://ucuenca.edu.ec/resource/author/silvana-ivonne-hidalgo-trujillo,http://ucuenca.edu.ec/wkhuska/publication/long-period-events-and-tremor-at-volcano-and-their-broadband-characteristics,Long-period events and tremor at Popocatépetl volcano (1994-2000) and their broadband characteristics,"Long Period, Oscillations, Short Period, Very Long Period, Volcanic Eruption"
"Sarmiento C. , Alvaro",http://ucuenca.edu.ec/resource/author/alvaro-sarmiento-c,http://ucuenca.edu.ec/wkhuska/publication/new-approach-to-concurrent-bit,A New Approach To Concurrent Ring: 1 Bit latency.,"Access Method, Error Recovery, Simulation Study"
Diana Jackeline Santos Delgado,http://ucuenca.edu.ec/resource/author/diana-jackeline-santos-delgado,http://ucuenca.edu.ec/wkhuska/publication/toward-language-dependent,Toward Language-dependent Applications.,"Machine Translation, Natural Language Processing, part-of-speech tagging"
"Castillo Ordóñez, Xavier Anibal",http://ucuenca.edu.ec/resource/author/xavier-anibal-castillo-ordóñez,http://ucuenca.edu.ec/wkhuska/publication/derivation-and-calibration-of-transient-error-reliability,Derivation and Calibration of a Transient Error Reliability Model.,Reliability Modeling
"Cisneros, Felipe",http://ucuenca.edu.ec/resource/author/felipe-cisneros,http://ucuenca.edu.ec/wkhuska/publication/integrating-physicochemical-and-ecological-models-to-assess-the-effectiveness-of-water-quality-management-strategies-for-the-river-cuenca-in,"Integrating hydraulic, physicochemical and ecological models to assess the effectiveness of water quality management strategies for the River Cuenca in Ecuador""@e","Habitat suitability modelling, Integrated ecological modelling, Logistic regression, Model trees, QUAL2Kw"
Andrea Muñoz,http://ucuenca.edu.ec/resource/author/andrea-muñoz,http://ucuenca.edu.ec/wkhuska/publication/early-succession-arthropod-community-changes-on-experimental-passion-fruit-plant-patches-along-land-use-gradient-in,"Early succession arthropod community changes on experimental passion fruit plant patches along a land-use gradient in Ecuador""@e","Ant, Beetle, Biodiversity, Insect, Land use change, Passiflora edulis, Predator, Spider"
"Espinosa Villegas, Gabriela Fernanda",http://ucuenca.edu.ec/resource/author/gabriela-fernanda-espinosa-villegas,http://ucuenca.edu.ec/wkhuska/publication/fuzzy-artmap-based-quantitative-structure-property-relationship-for-predicting-aqueous-solubility-of-organic-compounds-sci-1177-1207,"A Fuzzy ARTMAP Based Quantitative Structure-Property Relationship (QSPR) for Predicting Aqueous Solubility of Organic Compounds J. Chem. Inf. Comput. Sci 41, 1177-1207 (2001).","fuzzy artmap, Organic Compound, Quantitative Structure Property Relationship"
Mónica Alejandra Vallejo Reyes,http://ucuenca.edu.ec/resource/author/mónica-alejandra-vallejo-reyes,http://ucuenca.edu.ec/wkhuska/publication/reconsidering-model-of-scientific-an,Reconsidering Price's model of scientific growth: An overview.,"Empirical Study, Generic Model"
"Serrano Cordero, Enrique",http://ucuenca.edu.ec/resource/author/enrique-serrano-cordero,http://ucuenca.edu.ec/wkhuska/publication/application-of-alos-palsar-and-landsat-data-for-the-study-of-periglacial-features-and-permafrost-within-the-south-shetland-western,"Application of ALOS PALSAR and Landsat ETM+ Data for the Study of Periglacial Features and Permafrost within the South Shetland Islands, Western Antarctica.","Active Layer, Antarctic Peninsula, Free Surface, Global Warming, landsat etm+, Large Scale, Spatial Distribution"
"Ordoñez Marín, Nelson Xavier",http://ucuenca.edu.ec/resource/author/nelson-xavier-ordoñez-marín,http://ucuenca.edu.ec/wkhuska/publication/study-of-oxygen-plasma-for-application-in-sterilization,Study of Oxygen Plasma for Application in Sterilization Processes.,Sterilization
"Dechent, Peter",http://ucuenca.edu.ec/resource/author/peter-dechent,http://ucuenca.edu.ec/wkhuska/publication/behavioral-correlates-of-negative-bold-signal-changes-in-the-primary-somatosensory,Behavioral correlates of negative BOLD signal changes in the primary somatosensory cortex.,"Blood Oxygen Level Dependent, Current Perception Threshold, Electric Stimulation, Functional Magnetic Resonance Images, Functional Mri, Hypothesis Test, Indexation, Median Nerve, neuronal activity, Primary Somatosensory Cortex, Somatosensory Cortex, Somatosensory System"
"Bustamante, Juan Carlos",http://ucuenca.edu.ec/resource/author/juan-carlos-bustamante,http://ucuenca.edu.ec/wkhuska/publication/hochschild-cohomology-and-the-derived-class-of-m-cluster-tilted-algebras-of-type,"Hochschild cohomology and the derived class of m-cluster tilted algebras of type A""@e","Gentle algebras, Hochschild cohomology, m-cluster tilted algebras"
"Vega Beltrán, Germán Oswaldo",http://ucuenca.edu.ec/resource/author/germán-oswaldo-vega-beltrán,http://ucuenca.edu.ec/wkhuska/publication/an-semantic-interoperability-infrastructure-for-e-government-services-in-the-employment,SEEMP: An Semantic Interoperability Infrastructure for e-Government Services in the Employment Sector.,"Data Exchange, Member States, Semantic Interoperability, Semantic Web, Software Engineering"
